"Var1","Var2","distance"
"ENCFF372VPV","ENCFF943EZJ",0.895443129675811
"ENCFF683EWG","ENCFF943EZJ",1.12298609725686
"ENCFF790BKB","ENCFF943EZJ",0.755040486284289
"ENCFF669TNM","ENCFF943EZJ",2.20764400249377
"ENCFF856EHA","ENCFF943EZJ",1.032278840399
"ENCFF674TKN","ENCFF943EZJ",1.53546425187032
"ENCFF302ROS","ENCFF943EZJ",0.615152244389027
"ENCFF763ZLD","ENCFF943EZJ",3.67786678304239
"ENCFF518MSP","ENCFF943EZJ",3.85031123441397
"ENCFF361GRY","ENCFF943EZJ",0.836010199501247
"ENCFF288IBH","ENCFF943EZJ",0.701430274314214
"AKAP1_HepG2_rep2","ENCFF943EZJ",2.48588903990025
"AKAP1_K562_rep2","ENCFF943EZJ",2.40000965087282
"APOBEC3C_K562_rep1","ENCFF943EZJ",0.934827481296758
"CPSF6_K562_rep2","ENCFF943EZJ",0.531058603491272
"DDX55_HepG2_rep1","ENCFF943EZJ",1.45557957605985
"DDX55_K562_rep1","ENCFF943EZJ",1.38829248129676
"DDX6_K562_rep2","ENCFF943EZJ",0.94194602244389
"FAM120A_HepG2_rep2","ENCFF943EZJ",1.34370620947631
"FAM120A_K562_rep2","ENCFF943EZJ",1.64275073566085
"FUBP3_HepG2_rep2","ENCFF943EZJ",0.93859566084788
"FUS_K562_rep1","ENCFF943EZJ",1.46269612219451
"GRSF1_HepG2_rep1","ENCFF943EZJ",2.72286709476309
"HNRNPK_HepG2_rep1","ENCFF943EZJ",3.30976184538653
"HNRNPK_K562_rep2","ENCFF943EZJ",3.70211042394015
"IGF2BP1_HepG2_rep1","ENCFF943EZJ",1.69048483790524
"IGF2BP1_K562_rep1","ENCFF943EZJ",1.70279941396509
"IGF2BP2_K562_rep2","ENCFF943EZJ",1.74364885286783
"IGF2BP3_HepG2_rep2","ENCFF943EZJ",1.72248203241895
"KHSRP_K562_rep1","ENCFF943EZJ",0.692234326683292
"LARP4_HepG2_rep2","ENCFF943EZJ",1.75914027431421
"LARP4_K562_rep1","ENCFF943EZJ",0.534120074812968
"LSM11_HepG2_rep2","ENCFF943EZJ",2.01757594763092
"LSM11_K562_rep2","ENCFF943EZJ",1.1444041521197
"NOLC1_K562_rep1","ENCFF943EZJ",0.70170572319202
"PABPC4_K562_rep2","ENCFF943EZJ",1.28592350374065
"PABPN1_HepG2_rep2","ENCFF943EZJ",1.85252789276808
"PCBP1_HepG2_rep2","ENCFF943EZJ",2.77216194513716
"PCBP1_K562_rep1","ENCFF943EZJ",2.58669703241895
"PCBP2_HepG2_rep2","ENCFF943EZJ",4.15681516209476
"PUM2_K562_rep2","ENCFF943EZJ",0.836986932668329
"SLBP_K562_rep1","ENCFF943EZJ",1.5151557605985
"SUB1_HepG2_rep1","ENCFF943EZJ",0.647878403990025
"TARDBP_K562_rep2","ENCFF943EZJ",1.58456581047382
"TIA1_HepG2_rep1","ENCFF943EZJ",1.04881077306733
"TIA1_K562_rep1","ENCFF943EZJ",1.18816529925187
"TIAL1_HepG2_rep1","ENCFF943EZJ",0.901225935162095
"UPF1_HepG2_rep1","ENCFF943EZJ",2.56097719451372
"UPF1_K562_rep1","ENCFF943EZJ",2.49719751870324
"ZC3H11A_HepG2_rep1","ENCFF943EZJ",1.20848972568579
"ZC3H11A_K562_rep2","ENCFF943EZJ",0.705601496259352
"ENCFF780HTF","ENCFF751GZQ",3.15607197007481
"ENCFF016YOC","ENCFF751GZQ",2.2715050872818
"ENCFF943EZJ","ENCFF751GZQ",0.754803628428928
"ENCFF751GZQ","ENCFF751GZQ",0
"ENCFF145NQB","ENCFF751GZQ",1.95023744389027
"ENCFF162LAM","ENCFF751GZQ",0.674804027431421
"ENCFF515CUN","ENCFF751GZQ",1.96596746882793
"ENCFF704TQZ","ENCFF751GZQ",1.48940588528678
"ENCFF184QYU","ENCFF751GZQ",2.93443778054863
"ENCFF149SFF","ENCFF751GZQ",1.25644162094763
"ENCFF210ZRQ","ENCFF751GZQ",3.11315871571072
"ENCFF059PZS","ENCFF751GZQ",2.21020574812968
"ENCFF198ISB","ENCFF751GZQ",1.78204087281795
"ENCFF894NKS","ENCFF751GZQ",1.82984284289277
"ENCFF427IMN","ENCFF751GZQ",2.44223654613466
"ENCFF544NQL","ENCFF751GZQ",2.23000288029925
"ENCFF589JKO","ENCFF751GZQ",2.05312117206983
"ENCFF270FPU","ENCFF751GZQ",2.97802052369077
"ENCFF698TGL","ENCFF751GZQ",1.579915
"ENCFF202RTW","ENCFF751GZQ",1.20011362842893
"ENCFF685FNB","ENCFF751GZQ",1.28122897755611
"ENCFF252SPM","ENCFF751GZQ",1.23816342892768
"ENCFF938CFK","ENCFF751GZQ",2.1221358478803
"ENCFF102JHG","ENCFF751GZQ",1.27896475062344
"ENCFF551NSA","ENCFF751GZQ",1.17347683291771
"ENCFF974AOE","ENCFF751GZQ",1.69912820448878
"ENCFF138HUE","ENCFF751GZQ",1.92469623441397
"ENCFF041ETC","ENCFF751GZQ",1.38448588528678
"ENCFF803QKO","ENCFF751GZQ",2.637121159601
"ENCFF231WHF","ENCFF751GZQ",2.26188518703242
"ENCFF511HSJ","ENCFF751GZQ",1.58732527431421
"ENCFF416HFS","ENCFF751GZQ",0.979568965087282
"ENCFF923ZPC","ENCFF751GZQ",1.51583332917706
"ENCFF258DPQ","ENCFF751GZQ",2.83465715710723
"ENCFF080VML","ENCFF751GZQ",2.48789659600997
"ENCFF902OZA","ENCFF751GZQ",1.2030844638404
"ENCFF811KHK","ENCFF751GZQ",4.14998099750623
"ENCFF948AOR","ENCFF751GZQ",4.48328445137157
"ENCFF904WAE","ENCFF751GZQ",1.71321694513716
"ENCFF709BYW","ENCFF751GZQ",1.38401453865337
"ENCFF739ERP","ENCFF751GZQ",3.00553845386534
"ENCFF443ABK","ENCFF751GZQ",2.39362972568579
"ENCFF273IBF","ENCFF751GZQ",1.29382573566085
"ENCFF802BJP","ENCFF751GZQ",1.19377518703242
"ENCFF163CUI","ENCFF751GZQ",2.13322612219451
"ENCFF411WKH","ENCFF751GZQ",2.05545840399002
"ENCFF747NRM","ENCFF751GZQ",1.77592365336658
"ENCFF389LEX","ENCFF751GZQ",1.86277362842893
"ENCFF188HFB","ENCFF751GZQ",2.18174258104738
"ENCFF103YQS","ENCFF751GZQ",1.478287680798
"ENCFF443KJS","ENCFF751GZQ",2.33556133416459
"ENCFF219KHR","ENCFF751GZQ",3.21582180798005
"ENCFF754XAQ","ENCFF751GZQ",4.47188375311721
"ENCFF241AOZ","ENCFF751GZQ",4.35905604738155
"ENCFF705SDK","ENCFF751GZQ",2.35043877805486
"ENCFF853FGC","ENCFF751GZQ",2.55149728179551
"ENCFF082VUD","ENCFF751GZQ",2.52844284289277
"ENCFF076GHL","ENCFF751GZQ",2.30500720698254
"ENCFF127WMZ","ENCFF751GZQ",1.18785658354115
"ENCFF540HIX","ENCFF751GZQ",1.97847933915212
"ENCFF259HTD","ENCFF751GZQ",0.926356072319202
"ENCFF825AVT","ENCFF751GZQ",2.37811321695761
"ENCFF733BEV","ENCFF751GZQ",1.74546188279302
"ENCFF193VAQ","ENCFF751GZQ",1.05362433915212
"ENCFF787HQF","ENCFF751GZQ",2.25056435162095
"ENCFF715LJJ","ENCFF751GZQ",2.42319089775561
"ENCFF502OYV","ENCFF751GZQ",2.80652648379052
"ENCFF766DUS","ENCFF751GZQ",2.62687028678304
"ENCFF454MWQ","ENCFF751GZQ",4.39905658354115
"ENCFF372VPV","ENCFF751GZQ",1.52471713216958
"ENCFF683EWG","ENCFF751GZQ",0.975628204488778
"ENCFF790BKB","ENCFF751GZQ",1.19863448877805
"ENCFF669TNM","ENCFF751GZQ",1.98548718204489
"ENCFF856EHA","ENCFF751GZQ",1.58572201995012
"ENCFF674TKN","ENCFF751GZQ",2.13457089775561
"ENCFF302ROS","ENCFF751GZQ",1.1652164713217
"ENCFF763ZLD","ENCFF751GZQ",3.74030617206982
"ENCFF518MSP","ENCFF751GZQ",3.94390226932668
"ENCFF361GRY","ENCFF751GZQ",1.44689105985037
"ENCFF288IBH","ENCFF751GZQ",1.19150332917706
"AKAP1_HepG2_rep2","ENCFF751GZQ",2.63707718204489
"AKAP1_K562_rep2","ENCFF751GZQ",2.54445360349127
"APOBEC3C_K562_rep1","ENCFF751GZQ",1.54115347880299
"CPSF6_K562_rep2","ENCFF751GZQ",1.11505011221945
"DDX55_HepG2_rep1","ENCFF751GZQ",2.07161013715711
"DDX55_K562_rep1","ENCFF751GZQ",2.00556486284289
"DDX6_K562_rep2","ENCFF751GZQ",1.50197401496259
"FAM120A_HepG2_rep2","ENCFF751GZQ",1.4685539276808
"FAM120A_K562_rep2","ENCFF751GZQ",1.87689775561097
"FUBP3_HepG2_rep2","ENCFF751GZQ",1.41635315461347
"FUS_K562_rep1","ENCFF751GZQ",1.49536952618454
"GRSF1_HepG2_rep1","ENCFF751GZQ",2.50187523690773
"HNRNPK_HepG2_rep1","ENCFF751GZQ",3.6822752244389
"HNRNPK_K562_rep2","ENCFF751GZQ",4.03421771820449
