"file","protein","cell","input"
"ENCFF228NIC","PPIG","HepG2",TRUE
"ENCFF829ROW","SAFB","HepG2",TRUE
"ENCFF962TBZ","GTF2F1","HepG2",TRUE
"ENCFF697LPT","RBM15","K562",TRUE
"ENCFF525BGY","DDX55","HepG2",TRUE
"ENCFF948AOR","UPF1","K562",FALSE
"ENCFF701TPG","UPF1","K562",FALSE
"ENCFF169EKN","RBM22","HepG2",FALSE
"ENCFF051SNH","RBM22","HepG2",FALSE
"ENCFF863HRM","LARP7","K562",FALSE
"ENCFF476VSU","LARP7","K562",FALSE
"ENCFF355NYZ","HNRNPM","HepG2",TRUE
"ENCFF429YHX","UPF1","K562",TRUE
"ENCFF177YJA","FUS","HepG2",FALSE
"ENCFF181DXK","FUS","HepG2",FALSE
"ENCFF937IVH","SRSF7","K562",FALSE
"ENCFF149XNS","SRSF7","K562",FALSE
"ENCFF062ETM","NPM1","K562",TRUE
"ENCFF273RFL","NKRF","HepG2",TRUE
"ENCFF019BLW","HNRNPUL1","K562",TRUE
"ENCFF948OYU","U2AF1","K562",TRUE
"ENCFF511HSJ","SLBP","K562",FALSE
"ENCFF218ZEI","SLBP","K562",FALSE
"ENCFF722JMT","SAFB","K562",FALSE
"ENCFF973VXO","SAFB","K562",FALSE
"ENCFF913QVA","NCBP2","K562",FALSE
"ENCFF308LKS","NCBP2","K562",FALSE
"ENCFF690EFW","BCCIP","HepG2",FALSE
"ENCFF081LVD","BCCIP","HepG2",FALSE
"ENCFF975KYG","RPS5","K562",TRUE
"ENCFF836HIK","FUBP3","HepG2",FALSE
"ENCFF149SFF","FUBP3","HepG2",FALSE
"ENCFF701APQ","NONO","K562",TRUE
"ENCFF978BQG","UTP18","HepG2",FALSE
"ENCFF511WWE","UTP18","HepG2",FALSE
"ENCFF545KJU","RBM5","HepG2",FALSE
"ENCFF723UHT","RBM5","HepG2",FALSE
"ENCFF132YAO","UCHL5","HepG2",FALSE
"ENCFF476CPQ","UCHL5","HepG2",FALSE
"ENCFF987HHN","RPS3","K562",TRUE
"ENCFF359HHB","SF3B1","K562",TRUE
"ENCFF885KNL","HNRNPC","HepG2",TRUE
"ENCFF467FPH","SRSF1","HepG2",TRUE
"ENCFF568BOI","HLTF","K562",TRUE
"ENCFF949MMS","SFPQ","HepG2",TRUE
"ENCFF273ZJR","TBRG4","K562",FALSE
"ENCFF259AFA","TBRG4","K562",FALSE
"ENCFF699QMT","SUGP2","HepG2",FALSE
"ENCFF600AXE","SUGP2","HepG2",FALSE
"ENCFF083OHX","TBRG4","K562",TRUE
"ENCFF743ZXA","SRSF7","HepG2",FALSE
"ENCFF558CNE","SRSF7","HepG2",FALSE
"ENCFF255EGS","HNRNPL","HepG2",TRUE
"ENCFF025YVA","HNRNPU","K562",FALSE
"ENCFF197OBL","HNRNPU","K562",FALSE
"ENCFF499JDZ","EFTUD2","HepG2",FALSE
"ENCFF061QCD","EFTUD2","HepG2",FALSE
"ENCFF824LSN","ZRANB2","K562",TRUE
"ENCFF184OIG","YBX3","K562",FALSE
"ENCFF279AVU","YBX3","K562",FALSE
"ENCFF445FRC","DHX30","K562",FALSE
"ENCFF845MNN","DHX30","K562",FALSE
"ENCFF550ZSZ","CPSF6","K562",FALSE
"ENCFF751GZQ","CPSF6","K562",FALSE
"ENCFF790WEA","CPEB4","K562",TRUE
"ENCFF987VDX","PRPF8","K562",FALSE
"ENCFF558FAR","PRPF8","K562",FALSE
"ENCFF811KHK","UPF1","HepG2",FALSE
"ENCFF699EEF","UPF1","HepG2",FALSE
"ENCFF294FZI","TROVE2","K562",FALSE
"ENCFF063MVN","TROVE2","K562",FALSE
"ENCFF249CVU","AGGF1","HepG2",FALSE
"ENCFF302BJD","AGGF1","HepG2",FALSE
"ENCFF867ISO","TRA2A","HepG2",TRUE
"ENCFF091PQO","AKAP1","K562",TRUE
"ENCFF630YNF","HNRNPC","HepG2",FALSE
"ENCFF162FHQ","HNRNPC","HepG2",FALSE
"ENCFF013ZUT","AKAP8L","K562",TRUE
"ENCFF047HSP","FXR1","K562",TRUE
"ENCFF705YYZ","DHX30","HepG2",FALSE
"ENCFF809XHX","DHX30","HepG2",FALSE
"ENCFF818CAZ","PRPF8","HepG2",TRUE
"ENCFF761MIA","RPS24","K562",TRUE
"ENCFF501PCN","TAF15","K562",FALSE
"ENCFF044RGH","TAF15","K562",FALSE
"ENCFF862YVK","QKI","HepG2",FALSE
"ENCFF567ADV","QKI","HepG2",FALSE
"ENCFF474WKB","XRCC6","HepG2",FALSE
"ENCFF438ULK","XRCC6","HepG2",FALSE
"ENCFF523RZH","HNRNPUL1","K562",FALSE
"ENCFF426AQN","HNRNPUL1","K562",FALSE
"ENCFF506OAM","FTO","K562",TRUE
"ENCFF106FPU","DDX42","K562",FALSE
"ENCFF220NDA","DDX42","K562",FALSE
"ENCFF941QMM","SUPV3L1","HepG2",FALSE
"ENCFF853HTH","SUPV3L1","HepG2",FALSE
"ENCFF496FIX","SUPV3L1","K562",FALSE
"ENCFF829FDR","SUPV3L1","K562",FALSE
"ENCFF986QCU","XPO5","HepG2",TRUE
"ENCFF524PYO","TARDBP","K562",FALSE
"ENCFF923ZPC","TARDBP","K562",FALSE
"ENCFF361VLG","POLR2G","K562",TRUE
"ENCFF693MLV","ZNF800","K562",FALSE
"ENCFF420ZEI","ZNF800","K562",FALSE
"ENCFF115CKY","HLTF","K562",FALSE
"ENCFF057MVG","HLTF","K562",FALSE
"ENCFF985TJF","FXR2","HepG2",TRUE
"ENCFF091KVP","ZNF622","K562",TRUE
"ENCFF568SAI","NSUN2","K562",TRUE
